,company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year
2354,Happy Cow Dairy,2016,Mumbai,Agriculture,A startup which aggregates milk from dairy farmers in rural Maharashtra., IndusInd Bank,585960.0,Seed,2018
2355,MyLoanCare,2016,Gurgaon,Finance,Leading Online Loans Marketplace in India,Venture Catalysts,952185.0,Series A,2018
2356,PayMe India,2016,Noida,Financial,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees., Kalaari Capital,2000000.0,Angel,2018
2357,Eunimart,2016,Hyderabad,Commerce,Eunimart is a one stop solution for merchants to create a difference by selling globally.,Inflection Point Ventures,3000000.0,Seed,2018
2358,Hasura,2016,Bangalore,Technology,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Inflection Point Ventures,1600000.0,Seed,2018
2359,Tripshelf,2016,Kalkaji,Technology,Tripshelf is an online market place for holiday packages.,Inflection Point Ventures,234384.0,Seed,2018
2360,Hyperdata.IO,2016,Hyderabad,Commerce,Hyperdata combines advanced machine learning with human intelligence.,Inflection Point Ventures,732450.0,Angel,2018
2361,Freightwalla,2016,Mumbai,Information,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Data Point Capital,3000000.0,Seed,2018
2362,Microchip Payments,2016,Bangalore,Technology,Microchip payments is a mobile-based payment application and point-of-sale device,Inflection Point Ventures,3000000.0,Seed,2018
2363,BizCrum Infotech Pvt. Ltd.,2016,Delhi,Commerce,Building Transactionary B2B Marketplaces,Inflection Point Ventures,3000000.0,Seed,2018
2364,Emojifi,2016,Bangalore,Technology,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",Inflection Point Ventures,3000000.0,Seed,2018
2365,Flock,2016,India,Technology,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Inflection Point Ventures,3000000.0,Seed,2018
2366,Freshboxx,2016,Hubli,Food & Beverage,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",Coatue Management,3000000.0,Seed,2018
2367,Wide Mobility Mechatronics,2016,Bangalore,Agriculture,Wide Mobility Mechatronics is a Private Company limited by Shares, IndusInd Bank,3000000.0,Seed,2018
2368,Pitstop,2016,Bangalore,Transport,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,CDC Group,1464900.0,Seed,2018
2369,Mihuru,2016,Mumbai,Finance,Mihuru is an online platform which gives micro loans for air travel .,Venture Catalysts,150000.0,Seed,2018
2370,Fyle,2016,Bangalore,Accounting,Fyle is an intelligent expense management platform for enterprises.,Unknown,1100000.0,Seed,2018
2371,AppWharf,2016,New Delhi,Technology,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,Inflection Point Ventures,3000000.0,Seed,2018
2372,Antariksh Waste Ventures Pvt ltd,2016,Chennai,Technology,Waste Management for Smart Cities,Inflection Point Ventures,7324.5,Seed,2018
2373,Cogoport,2016,Mumbai,Transport,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,CDC Group,6000000.0,Series A,2018
2374,PaisaDukan,2016,Mumbai,Financial,A P2P lending marketplace platform, Kalaari Capital,650000.0,Seed,2018
